MATERIAL_NO,MDM_MATCH,MANUFACTURER_NAME_1,MANUFACTURER_PT_NO_1,NOUN_ENGLISH,MODIFIER_ENGLISH,
1073193,New,GATES,2/B120,BELT,V,BELT|V
1073905,Yes,GATES,5VGX1000,BELT,V,
1074028,Yes,GATES,5V1180,BELT,V,
1074735,Yes,GATES,A93,BELT,V,
1074909,Yes,GATES,3VX800,BELT,V,
1075058,Yes,BROWNING,285L050,BELT,TIMING,
1075105,Yes,GATES,A38,BELT,V,
1075296,No,,02/200210,BELT,V,BELT|V
1075313,Yes,GATES,B71,BELT,V,
1075637,Yes,GATES,C75,BELT,V,
1075717,Yes,BROWNING,300L050,BELT,TIMING,
1075718,Yes,GATES,AX75,BELT,V,
1076296,Yes,GATES,5VX1400,BELT,V,
1076297,Yes,GATES,A30,BELT,V,
1076635,Yes,GATES,2430,BELT,V,
1076871,No,,3150-14M-85,BELT,TIMING,BELT|TIMING
1077619,Yes,GATES,5VX1600,BELT,V,
1077731,Yes,GATES,5VX1500,BELT,V,
1077732,Yes,GATES,B83,BELT,V,
1078587,Yes,GATES,B85,BELT,V,
1078796,Yes,GATES,5VX1320,BELT,V,
1078874,Yes,GATES,BX128,BELT,V,
1078943,Yes,GATES,B80,BELT,V,
1078979,No,GATES,30X950,BELT,V,BELT|V
1079011,Yes,GATES,5V900,BELT,V,
1079257,Yes,GATES,B112,BELT,V,
1079457,No,BROWNING,4L310,BELT,V,BELT|V
1079678,Yes,GATES,5V2240,BELT,V,
1079679,Yes,GATES,B93,BELT,V,
1079727,Yes,GATES,3VX450,BELT,V,
1080273,Yes,GATES,3VX1250,BELT,V,
1080274,Yes,GATES,A77,BELT,V,
1080275,No,GATES,3/5VX950,BELT,V,BELT|V
1080346,Yes,GATES,3L190,BELT,V,
1080469,Yes,GATES,BX97,BELT,V,
1081197,No,,3136-14MGT-37,BELT,TIMING,BELT|TIMING
1081275,Yes,GATES,5V1000,BELT,V,
1081505,Yes,GATES,3VX1060,BELT,V,
1081581,Yes,GATES,A53,BELT,V,
1082050,Yes,GATES,B58,BELT,V,
1082065,Yes,GATES,5VX1700,BELT,V,
1082413,Yes,GATES,255L050,BELT,TIMING,
1082642,Yes,GATES,B50,BELT,V,
1082684,Yes,GATES,3VX425,BELT,V,
1083294,No,PULSAFEEDER,W201498,BELT,TIMING,BELT|TIMING
1083439,New,GATES,5V800,BELT,V,BELT|V
1083599,Yes,GATES,A44,BELT,V,
1084570,Yes,GATES,5VX800,BELT,V,
1084972,No,GATES,5/5V1250,BELT,V,BELT|V
1085123,Yes,GATES,3V670,BELT,V,
1085533,New,GATES,5V850,BELT,V,BELT|V
1085723,Yes,GATES,1120-8M-50,BELT,TIMING,
1085773,New,GOODYEAR,2100-14M-115,BELT,TIMING,BELT|TIMING
1087070,Yes,GATES,1400XXH500,BELT,TIMING,
1087272,Yes,GATES,C85,BELT,V,
1087972,Yes,DAYTON,900H300,BELT,TIMING,
1088167,No,GATES,1610-14M-170,BELT,TIMING,BELT|TIMING
1088289,Yes,GATES,2830V363,BELT,V,
1088729,New,GATES,3/5V2000,BELT,V,BELT|V
1089178,Yes,GATES,5L340,BELT,V,
1089208,Yes,GATES,B49,BELT,V,
1089441,Yes,GATES,5L240,BELT,V,
1089454,Yes,GATES,B45,BELT,V,
1089741,No,GATES,C68,BELT,V,BELT|V
1089774,Yes,GATES,3V630,BELT,V,
1090096,Yes,GATES,4L260,BELT,V,
1090247,No,GATES,4/B51,BELT,V,BELT|V
1090373,Yes,GATES,2830V363,BELT,V,
1090801,No,GATES,4/8V1000,BELT,V,BELT|V
1090979,No,GATES,DD22390L075,BELT,TIMING,BELT|TIMING
1091304,Yes,GATES,3VX500,BELT,V,
1091378,New,GOODYEAR,A49,BELT,V,BELT|V
1091514,Yes,GATES,A40,BELT,V,
1092027,No,GATES,5/B120,BELT,V,BELT|V
1092378,No,GATES,2100-14M-85,BELT,TIMING,BELT|TIMING
1092726,Yes,GATES,C240,BELT,V,
1093348,No,GATES,2826V452,BELT,V,BELT|V
1093377,Yes,GATES,A90,BELT,V,
1093626,No,GATES,1890-14M-1155EE,BELT,TIMING,BELT|TIMING
1093633,No,GATES,4/3VX1180,BELT,V,BELT|V
1093652,Yes,GATES,3V630,BELT,V,
1094426,Yes,GATES,A46,BELT,V,
1094740,New,GATES,5/5V2120,BELT,V,BELT|V
1095166,No,GATES,3/C128,BELT,V,BELT|V
